Date,HomeTeam,AwayTeam,Result
20/04/2019 15:00,West Ham,Leicester,
20/04/2019 15:00,Wolves,Brighton,
27/04/2019 15:00,Brighton,Newcastle,
27/04/2019 15:00,Burnley,Man City,
27/04/2019 15:00,Crystal Palace,Everton,
27/04/2019 15:00,Fulham,Cardiff,
27/04/2019 15:00,Leicester,Arsenal,
27/04/2019 15:00,Liverpool,Huddersfield,
27/04/2019 15:00,Man Utd,Chelsea,
27/04/2019 15:00,Southampton,Bournemouth,
27/04/2019 15:00,Spurs,West Ham,
27/04/2019 15:00,Watford,Wolves,
04/05/2019 15:00,Arsenal,Brighton,
04/05/2019 15:00,Bournemouth,Spurs,
04/05/2019 15:00,Cardiff,Crystal Palace,
04/05/2019 15:00,Chelsea,Watford,
04/05/2019 15:00,Everton,Burnley,
04/05/2019 15:00,Huddersfield,Man Utd,
04/05/2019 15:00,Man City,Leicester,
04/05/2019 15:00,Newcastle,Liverpool,
04/05/2019 15:00,West Ham,Southampton,
04/05/2019 15:00,Wolves,Fulham,
12/05/2019 15:00,Brighton,Man City,
12/05/2019 15:00,Burnley,Arsenal,
12/05/2019 15:00,Crystal Palace,Bournemouth,
12/05/2019 15:00,Fulham,Newcastle,
12/05/2019 15:00,Leicester,Chelsea,
12/05/2019 15:00,Liverpool,Wolves,
12/05/2019 15:00,Man Utd,Cardiff,
12/05/2019 15:00,Southampton,Huddersfield,
12/05/2019 15:00,Spurs,Everton,
12/05/2019 15:00,Watford,West Ham,
